id,views
34575,990
34701,69
34720,838
34722,21
34737,2
34833,224
34877,33
34929,1092
34934,22
35590,809
35608,966
35739,26
35742,671
35745,153
35768,31
36524,35
36851,65
36856,91
36864,29
36867,2911
36878,1016
36887,32348
36909,2201
36918,10942
37010,222
37123,29
37269,230
37272,1
37353,45
37356,598
37373,4357
37380,91
37397,117
37456,14
37476,14
37518,1597
37521,218
37524,3533
37551,49
37683,175
37690,252
37737,25
37757,149
37775,5287
37799,10
37866,94
37924,1664
37926,251
37990,619
38032,278
38039,2959
38146,680
38164,7640
38194,57
38604,98
38784,436
38830,61
38856,1
38914,1087
38920,297
39018,2024
39041,9189
39168,543
39238,45
39250,32
39293,828
39299,325
39317,39
39354,8255
39390,5
39408,87
39646,51
39678,738
39694,148
39743,634
39797,656
40018,3498
40284,1455
40392,348
40426,2
40486,57
40493,2
40510,10891
40552,545
40576,1773
40634,2003
40638,790
40643,1137
40661,91
40734,131
40740,27
41086,4006
41092,690
41134,419
41201,128
41220,9
41226,614
41244,3661
41304,23
42107,59
42952,1664
42990,76
43086,14
43678,22
43686,1021
43792,79
43974,13
44316,5
44394,33
44610,6
44934,96
45070,59
45274,376
45340,16
45792,73
45816,13555
46114,32
46343,100
46391,296
46421,100
46548,88
46614,780
46620,106
46638,277
47544,1
48156,72
48347,8
52024,157
52056,60
52122,420
52134,1195
52240,259
52338,75
52462,44
52620,2
53856,1148
53880,12
53962,1290
54160,18
54362,227
54577,64
54672,576
54994,25
55023,69
55379,91
55446,20
55622,20
55894,70
56142,7789
56168,1123
56195,594
56197,519
56205,26
56368,58
56642,272
56958,49
57268,20
57504,242
57667,10
57748,5
57757,69
57813,1
57965,242
58025,12912
58055,94
58101,3297
58105,2253
58121,1297
58148,31
58368,48
58433,566
58438,252
58630,102
58656,18
58881,38
59055,1
59137,425
59162,40
59254,20
59679,25
59810,192
59835,15
60506,84
60618,284
60747,20
60834,4
61007,94
61045,159
61087,6
61125,355
61190,9
61407,20
61481,1000
61537,141
61540,3
61599,139
62024,56
62137,159
62143,1648
62190,5
62204,26
62528,19
62577,318
62721,8
62759,1
62770,27
62828,86
62998,36
63658,3
64167,9
64235,18
64978,28
65004,96
65058,1
65524,44
66659,135
66890,139
66908,953
67467,64
68112,963
68458,46
69174,9
69311,92
69339,2
70158,12
70544,6
70548,23
70580,45
70670,139
71191,658
71552,8
71835,43
72861,184
72925,33
72934,7
73085,181
73313,3
73488,20
73532,23
73552,96
73601,1
73612,51
73968,34
74244,366
74544,723
74600,195
74698,26
74964,70
75997,4
76270,313
76288,103
76516,237
76560,4
77106,23
77236,14
77438,47
77696,1
77716,739
79224,37
79677,16
80945,1
81221,4
81285,138
81309,17
81346,174
82321,2
82617,3
82629,427
82872,31
83988,90
84470,21
84545,26
84660,63
84666,32
84708,4
84796,109
84857,325
85062,22
85189,113
85402,2
85869,256
86197,8
86874,27
87600,91
87882,25
88148,20
88468,13
89444,1
89568,20
89664,97
90066,1
90657,3
91060,6
91488,3
91578,13
91969,231
92017,2
92221,26
92268,543
92590,96
94062,58
94306,19
94493,61
94657,160
94769,2
94902,663
95037,26
95094,6
95714,578
95845,111
96402,59
96712,454
97374,12
97402,15
97506,135
98772,29
98852,20
98954,267
99136,100
99184,20
99217,32
99957,48
100174,1
100528,49
100782,1
101706,25
101852,28
101942,59
102425,6
103366,62
103370,44
103689,1017
103717,65
103837,27
104080,325
104137,34
104173,128
104222,55
105144,51
106709,146
107608,1
107677,23
107721,57
107984,4
108514,32
108592,41
108774,133
109540,90
110164,27
110953,63
111161,144
111272,1
111920,480
112201,972
112558,93
113872,1
114098,23
114234,30
114361,5
115126,25
115926,47
117210,88
118076,17
118136,459
118202,1
118269,39
118464,40
118582,196
119141,3
119254,30
119432,129
119617,21
119670,304
119764,2
119768,29
119910,4
119984,20
120470,38
120501,6
120632,2
120740,96
120820,26
120901,352
121322,126
122090,54
122154,12
122565,199
122777,3
124398,104
124414,41
124460,36
124657,23
124945,1
125697,428
126128,56
126490,2
126581,400
126794,23
127992,57
128066,26
128225,68
128394,29
128526,577
128873,21
129625,5
129674,38
129872,105
130844,280
131225,25
131276,77
132305,75
132425,35
132849,4
133473,30
133708,303
134618,168
134940,134
134993,1
135092,177
135107,104
135113,7
135232,1
135643,22
135764,3082
136232,1
136345,628
136580,325
137029,77
137514,26
138758,7
139076,11
139137,3
139778,82
140318,15
140440,2
140548,56
140969,50
141402,22
141893,218
142196,215
142437,23
142461,8
142912,1574
142953,274
143336,16
143352,26
143949,23
144802,22
145640,91
145820,5
146221,70
146381,20
146478,443
146568,33
146628,20
146741,46
146765,42
146786,79
147052,37
147089,4
147144,72
147170,7
147370,327
147402,2
147465,8
148105,25
149014,12
149156,10
149384,4
149393,104
149798,2
149896,240
149988,10
150157,59
150186,34
150218,131
150541,34
150588,3
150809,136
150986,34
151388,70
152788,1
153450,1250
153976,9
154193,8
154453,43
154644,1
155169,1
155422,62
155781,1
155958,68
156792,165
156969,7
157320,19
157598,61
157793,90
158729,47
158794,48
159001,12
159070,21
159254,65
160625,2
162158,196
162922,1
163077,2
163420,95
163766,66
163856,79
163901,67
164333,2
164773,477
165057,56
165242,22
165518,23
165609,15
165658,153
165685,185
165840,853
165918,8
166088,6
166645,3
167744,419
167848,31
167861,15
168810,71
169058,75
169085,2
169384,29
169776,15
169798,408
170052,484
171018,8
171201,79
171385,15
171457,7
171554,14
172101,54
172165,31
172441,7
172542,27
173144,16
173738,2
174508,8
175928,66
176468,55
176676,148
176866,184
176946,138
177446,22
177965,2
178116,17
178569,26
179176,84
179548,12
179914,1858
180782,28
181296,134
181384,472
181662,19
181676,3
181797,332
182032,29
182377,2
183121,6
183708,43
183712,16
184241,28
184669,2
184677,7
185349,6
185481,344
185701,432
186001,28
186866,4
187113,522
187470,52
187768,315
188242,76
188418,53
189010,57
189401,192
189520,29
190208,19
190466,461
190840,91
191014,8
191413,1
192389,70
192921,16
193098,24
193332,21
193508,10
194713,2
195318,2
195322,3
195588,2
195666,85
195872,1
195932,40
196022,26
196142,102
197486,35
197493,22
198733,2
199080,776
199212,6
199556,10
199850,2
201029,32
201433,23
201736,8
201740,21
203069,21
203205,410
204020,24
204308,19
204528,26
204644,66
205162,5
205410,23
205465,1
205488,1
207120,22
207190,191
207256,47
207480,1
207698,61
207978,42
208104,172
208420,8
208433,179
208529,2
208889,17
209137,11
209482,408
209998,21
210018,2
210445,8
210522,110
211041,604
211112,13
211232,215
211292,26
211737,45
211746,406
211874,1
212489,80
212533,25
213089,9
213630,11
213837,29
213952,330
214448,22
214632,26
215314,49
215464,313
215824,4
216890,629
217014,18
217430,310
218953,21
218992,855
219824,23
219997,48
220204,1
220528,1
220684,2028
220734,9
221672,46
